product_id,addon_key,addon_label,cost_type,cost_value,supplier,notes
INSTRUCTIONS,,Label shown in app checkbox,"ea = cost per unit (app calculates how many units and derives $/lf). lf = sold by the foot (enter $/lf directly). kit = fixed cost per gate opening.",Cost per unit / per lf / per kit ($),Supplier,Notes
cin_wood_privacy_pt,board_on_board,Board on Board,ea,2.20,Mills,Same picket EA cost as base product — app adds 70% more pickets
cin_wood_privacy_pt,lattice_top,Lattice Top,ea,25.00,Lowes,Cost per 4x8 lattice panel — app uses ceil(sections/2) panels and switches to 4ft pickets ($2.20 EA)
cin_wood_privacy_pt,top_cap_fascia,Top Cap & Fascia,ea,10.00,Mills,"Two 1x4x16 boards per 2 sections: one runs horizontal (cap) one vertical (fascia). App adds ceil(sections/2) of each at $10 EA."
cin_wood_privacy_pt,gaps_in_pickets,Gaps in Pickets,ea,0,n/a,Style note only — no material cost change. App reduces picket count ~15%.
cin_wood_privacy_pt_8ft,board_on_board,Board on Board,ea,3.90,Mills,Same picket EA cost as 8ft base product
cin_wood_privacy_pt_8ft,top_cap_fascia,Top Cap & Fascia,ea,10.00,Mills,"Two 1x4x16 boards per 2 sections: one horizontal (cap) one vertical (fascia). ceil(sections/2) of each at $10 EA."
cin_wood_privacy_cedar,board_on_board,Board on Board,ea,4.79,SPS,Same cedar picket EA cost as base product
cin_wood_privacy_cedar,lattice_top,Lattice Top,ea,25.00,Lowes,App switches to 4ft cedar pickets ($4.79 EA)
cin_wood_privacy_cedar,top_cap_fascia,Top Cap & Fascia,ea,10.00,?,Two 1x4x16 boards per 2 sections — confirm cedar or PT and supplier for CIN cedar jobs
cin_wood_horiz_cap,board_on_board,Board on Board,ea,6.58,Mills,Doubles horizontal boards — confirm CIN offers this on horizontal privacy
cin_wood_ky_3rail,wire_mesh,Wire Mesh,lf,2.00,Imperial Fence,Galvanized wire mesh behind rails
cin_wood_ky_4rail,wire_mesh,Wire Mesh,lf,2.00,Imperial Fence,
cin_wood_split_3rail,wire_mesh,Wire Mesh,lf,2.00,Imperial Fence,
cin_wood_split_2rail,wire_mesh,Wire Mesh,lf,2.00,Imperial Fence,
cin_vinyl_privacy,color_upgrade,Color Upgrade,lf,?,?,PENDING — use VB multiplier when available
cin_vinyl_privacy,lattice_top,Lattice Top Panel,ea,25.00,Lowes,
cin_vinyl_privacy,gate_walk,Walk Gate,kit,300.00,SPS,Prefab kit
cin_vinyl_privacy,gate_double,Double Drive Gate,kit,600.00,SPS,Prefab kit
cin_vinyl_ranchrail,wire_mesh,Wire Mesh,lf,2.00,Imperial Fence,Confirmed same $/lf as wood mesh
cin_vinyl_ranchrail,gate_walk,Walk Gate,kit,155.00,Imperial Fence,Prefab kit
cin_vinyl_ranchrail,gate_double,Double Drive Gate,kit,350.00,Imperial Fence,Prefab kit
cin_alum_4ft,gate_walk,Walk Gate,kit,195.00,SPS,Prefab kit
cin_alum_4ft,gate_double,Double Drive Gate,kit,400.00,SPS,Prefab kit
cin_alum_6ft,gate_walk,Walk Gate,kit,225.00,Imperial Fence,Prefab kit
cin_alum_6ft,gate_double,Double Drive Gate,kit,450.00,Imperial Fence,Prefab kit
cin_chainlink,black_vinyl_upgrade,Black Vinyl Coated Mesh,lf,?,Master Halco,PENDING — upcharge per LF over galvanized ($4.66)
cin_chainlink,barb_wire,Barb Wire,lf,?,?,PENDING
cin_chainlink,privacy_slats,Privacy Slats,lf,?,?,PENDING
cin_chainlink,gate_walk,Walk Gate,kit,225.00,Master Halco,Prefab kit
cin_chainlink,gate_double,Double Drive Gate,kit,500.00,Master Halco,Prefab kit
