product_id,addon_key,addon_label,cost_type,cost_value,supplier,notes
INSTRUCTIONS,,Label shown in app checkbox,ea = cost per unit (app calculates how many units and derives $/lf). lf = sold by the foot (enter $/lf directly). kit = fixed cost per gate opening.,Cost per unit / per lf / per kit ($),Supplier,Notes
cin_wood_privacy_pt,board_on_board,Board on Board,ea,2.2,Mills,Same picket EA cost as base product — app adds 70% more pickets
cin_wood_privacy_pt,lattice_top,Lattice Top,ea,25,Lowes,Cost per 4x8 lattice panel — app uses ceil(sections/2) panels and switches to 4ft pickets ($2.20 EA)
cin_wood_privacy_pt,top_cap_fascia,Top Cap & Fascia,ea,10,Mills,It's 1x4xx16 running two sections
cin_wood_privacy_pt,gaps_in_pickets,Gaps in Pickets,ea,0,n/a,Style/layout note only — no material cost change. App reduces picket count ~15%.
cin_wood_privacy_pt_8ft,board_on_board,Board on Board,ea,3.9,Mills,Same picket EA cost as 8ft base product
cin_wood_privacy_pt_8ft,top_cap_fascia,Top Cap & Fascia,ea,10,Mills,It's 1x4xx16 running two sections
cin_wood_privacy_cedar,board_on_board,Board on Board,ea,4.79,SPS,Same cedar picket EA cost as base product
cin_wood_privacy_cedar,lattice_top,Lattice Top,ea,25,Lowes,Cost per 4x8 lattice panel — app switches to 4ft cedar pickets ($4.79 EA)
cin_wood_privacy_cedar,top_cap_fascia,Top Cap & Fascia,ea,10,?,Need: cost per 2x6x8 cedar cap board and fascia board — cedar or PT?
cin_wood_horiz_cap,cap_board,Cap Board,ea,9.25,Home Depot,1x6x12 cap board — same material as fence; app uses ceil(sections/2) boards
cin_wood_ky_3rail,wire_mesh,Wire Mesh,lf,1.06,Mills,
cin_wood_ky_4rail,wire_mesh,Wire Mesh,lf,1.06,Mills,
cin_wood_split_3rail,wire_mesh,Wire Mesh,lf,1.06,Mills,
cin_wood_split_2rail,wire_mesh,Wire Mesh,lf,1.06,Mills,
cin_vinyl_privacy,color_upgrade,Color Upgrade,lf,unknown,unknown,Can you use the multiplier from Virginia Beach's spreadsheet
cin_vinyl_privacy,lattice_top,Lattice Top Panel,ea,25,Lowes,Cost per vinyl lattice top panel from SPS
cin_vinyl_privacy,gate_walk,Walk Gate,kit,300,SPS,Prefab kit — fixed cost per gate
cin_vinyl_privacy,gate_double,Double Drive Gate,kit,600,SPS,Prefab kit — fixed cost per gate
cin_vinyl_ranchrail,wire_mesh,Wire Mesh,lf,200,?,Wire mesh behind vinyl rails — same product as wood mesh?
cin_vinyl_ranchrail,gate_walk,Walk Gate,kit,155,Imperial Fence,Prefab kit — fixed cost per gate
cin_vinyl_ranchrail,gate_double,Double Drive Gate,kit,350,Imperial Fence,Prefab kit — fixed cost per gate
cin_alum_4ft,gate_walk,Walk Gate,kit,195,SPS,Prefab kit — fixed cost per gate
cin_alum_4ft,gate_double,Double Drive Gate,kit,400,SPS,Prefab kit — fixed cost per gate
cin_alum_6ft,gate_walk,Walk Gate,kit,225,Imperial Fence,Prefab kit — fixed cost per gate
cin_alum_6ft,gate_double,Double Drive Gate,kit,450,Imperial Fence,Prefab kit — fixed cost per gate
cin_chainlink,black_vinyl_upgrade,Black Vinyl Coated Mesh,lf,?,Master Halco,Upcharge per LF over galvanized ($4.66) — or enter full black mesh cost and leave galvanized as base
cin_chainlink,barb_wire,Barb Wire,lf,unknown,?,Cost per LF
cin_chainlink,privacy_slats,Privacy Slats,lf,unknown,?,Cost per LF
cin_chainlink,gate_walk,Walk Gate,kit,225,Master Halco,Prefab kit — fixed cost per gate
cin_chainlink,gate_double,Double Drive Gate,kit,500,Master Halco,Prefab kit — fixed cost per gate
