branch,material,product_id,product_name,style_template,section_length_ft,heights_ft,infill_desc,infill_dim,infill_count_method,infill_cost_ea,infill_supplier,rail_desc,rail_dim,rails_per_section,rail_cost_ea,rail_supplier,post_size,post_cost_6ft_post,post_cost_8ft_post,post_cost_10ft_post,post_supplier,gate_post_size,gate_post_cost_8ft,gate_post_cost_10ft,gate_post_supplier,labor_per_lf,notes
INSTRUCTIONS,,,Product display name shown in app,privacy_picket / horizontal_board / split_rail / panel / vinyl_horizontal / mesh,Feet between posts,Comma-sep heights offered (ft),What the infill material is called,Size eg 5/8x6x6 or 1x6x8,per_ft (picket) OR per_section (boards/panels),Cost per picket/board/panel ($),Supplier name,What the rail is called,Size eg 2x4x8,Number of rails per section,Cost per rail ($),Supplier name,eg 4x4 or round,Cost of post used on 4ft fence ($),Cost of post used on 6ft fence ($),Cost of post used on 8ft fence ($),Supplier name,Always 6x6 for wood gates,Cost of 6x6x8 gate post ($),Cost of 6x6x10 gate post (with top cap) ($),Supplier name,Installed labor cost per linear foot ($),Any notes for the builder
CIN,wood,cin_wood_privacy_pt,Dog Ear Privacy — PT Pine,privacy_picket,8,6,Dog Ear Picket — Treated Pine,5/8"x6"x6',per_ft,?,?,2x4x8 Rail — Treated Pine,2x4x8,3,?,?,4x4,?,?,n/a,?,6x6,?,?,?,?,
CIN,wood,cin_wood_privacy_cedar,Dog Ear Privacy — Cedar,privacy_picket,8,6,Dog Ear Picket — Cedar,5/8"x6"x6',per_ft,?,?,2x4x8 Rail — Cedar,2x4x8,2,?,?,4x4,?,?,n/a,?,6x6,?,?,?,?,
CIN,wood,cin_wood_horiz_cap,Horizontal Privacy with Cap,horizontal_board,8,6,1x6 Horizontal Board,1x6x8,per_section,?,?,Cap Board,2x6x8,1,?,?,4x4,?,?,n/a,?,6x6,?,?,?,?,Cap board is top rail — 1 per section built into style
CIN,wood,cin_wood_ky_3rail,Kentucky Board — 3 Rail,horizontal_board,8,4,Board,?,per_section,?,?,n/a,n/a,3,n/a,n/a,?,?,n/a,n/a,?,6x6,?,n/a,?,?,What size boards? (eg 1x6x8 or 2x6x8)
CIN,wood,cin_wood_ky_4rail,Kentucky Board — 4 Rail,horizontal_board,8,4,Board,?,per_section,?,?,n/a,n/a,4,n/a,n/a,?,?,n/a,n/a,?,6x6,?,n/a,?,?,Same board as 3-rail?
CIN,wood,cin_wood_split_3rail,Split Rail — 3 Rail,split_rail,8,4,Split Rail,?,per_section,?,?,n/a,n/a,3,n/a,n/a,round,?,n/a,n/a,?,6x6,?,n/a,?,?,Round post size/cost? Rail dimensions?
CIN,wood,cin_wood_split_2rail,Split Rail — 2 Rail,split_rail,8,4,Split Rail,?,per_section,?,?,n/a,n/a,2,n/a,n/a,round,?,n/a,n/a,?,6x6,?,n/a,?,?,Same rail/post as 3-rail version?
CIN,vinyl,cin_vinyl_privacy,Vinyl Privacy — 6ft,panel,8,6,Privacy Panel,6ft x 8ft panel,per_section,?,?,n/a,n/a,n/a,n/a,n/a,5x5 vinyl,n/a,?,n/a,?,n/a,n/a,n/a,n/a,?,
CIN,vinyl,cin_vinyl_ranchrail,Vinyl Ranch Rail — 3 Rail,vinyl_horizontal,8,4,Vinyl Rail,?,per_section,?,Imperial Fence,n/a,n/a,3,n/a,n/a,vinyl post,?,n/a,n/a,Imperial Fence,n/a,n/a,n/a,n/a,?,What are the vinyl rail dimensions/part numbers?
CIN,aluminum,cin_alum_4ft,Aluminum Flat Top — 4ft,panel,6,4,Aluminum Panel,4ft x 6ft panel,per_section,?,?,n/a,n/a,n/a,n/a,n/a,2x2 aluminum,?,n/a,n/a,?,n/a,n/a,n/a,n/a,?,
CIN,aluminum,cin_alum_6ft,Aluminum Flat Top — 6ft,panel,6,6,Aluminum Panel,6ft x 6ft panel,per_section,?,?,n/a,n/a,n/a,n/a,n/a,2x2 aluminum,n/a,?,n/a,?,n/a,n/a,n/a,n/a,?,
CIN,chainlink,cin_chainlink,Chain Link,mesh,10,"3,4,5,6",Galvanized Mesh,,per_lf,?,Master Halco,Top Rail,1-3/8" x 21ft,1 per 21ft,?,Master Halco,steel,?,?,?,Master Halco,n/a,n/a,n/a,n/a,?,Mesh cost: fill in galv and black vinyl separately in addons file
