branch,material,product_id,product_name,style_template,section_length_ft,heights_ft,infill_desc,infill_dim,infill_units_per_section,infill_cost_ea,infill_supplier,rail_desc,rail_dim,rails_per_section,rail_cost_ea,rail_supplier,post_size,post_cost_6ft_post,post_cost_8ft_post,post_supplier,gate_post_size,gate_post_cost_8ft,gate_post_cost_10ft,gate_post_supplier,labor_per_lf,notes,,
INSTRUCTIONS,,,Display name shown in app,privacy_picket / horizontal_board / split_rail / panel / vinyl_horizontal / mesh,Feet between posts,Heights offered — comma-sep (ft),What the infill material is called,Size eg 5/8x6x6 or 1x6x8,For privacy_picket: leave blank (app calculates from width). For horizontal_board/split_rail: enter number of boards or rails per section (eg 3). For panel: enter 1.,Cost per picket / board / panel / rail ($),Supplier name,What the rail is called leave blank if boards ARE the rails (horizontal_board),Size eg 2x4x8,Number of rails per section — leave blank if boards ARE the rails,Cost per rail ($),Supplier name,eg 4x4 or round post,Cost of post for a 4ft fence (6ft post) ($),Cost of post for a 6ft or 8ft fence (8ft post) ($),Supplier name,Always 6x6 for wood,Cost of 6x6x8 gate post ($),Cost of 6x6x10 gate post — used when Top Cap add-on selected ($),Supplier name,Installed labor cost per linear foot ($),Notes or open questions,,
CIN,wood,cin_wood_privacy_pt,Dog Ear Privacy PT Pine,privacy_picket,8,6,Dog Ear Picket Treated Pine,"5/8""x6""x6'",,2.2,Mills,2x4x8 Rail Treated Pine,2x4x8,3,4.7,Mills,4x4x8,,11.25,Mills,6x6x8,25,30,Mills,8,,,
CIN,wood,cin_wood_privacy_pt_8ft,Dog Ear Privacy PT Pine,privacy_picket,8,8,Dog Ear Picket Treated Pine,"5/8""x6""x8'",,3.9,Mills,2x4x8 Rail Treated Pine,2x4x8,4,4.7,Mills,4x6x10,,30,Mills,6x6x10,30,35,Mills,10,,,
CIN,wood,cin_wood_privacy_cedar,Dog Ear Privacy Cedar,privacy_picket,8,6,Dog Ear Picket Cedar,"5/8""x6""x6'",,4.79,SPS,2x4x8 Rail Cedar,2x4x8,2,4.7,Mills,4x4x8,,11.25,SPS,6x6x8,25,,,8,,,
CIN,wood,cin_wood_horiz_cap,Horizontal Privacy with Cap,horizontal_board,8,6,1x6 Horizontal Board,1x6x8,13,6.58,Mils,Cap Board  built into style,2x6x8,,,,4x4x8,,11.25,Mils,6x6x8,25,,,8,13 boards fills a 6ft section tight (6ft ÷ 5.5in actual). Cap is 1 board per section on top.,,
CIN,wood,cin_wood_ky_3rail,Kentucky Board 3 Rail,horizontal_board,8,4,Board,"2""x6""x8'",3,5.8,Mils,,"2""x6""x8'",,,,4x4x6,11.25,?,Mils,4x6x6,11.25,,,8,,?,What size boards? (eg 1x6x8 or 2x6x8)
CIN,wood,cin_wood_ky_4rail,Kentucky Board  4 Rail,horizontal_board,8,4,Board,"1""x6""x16'",2,11.05,Mills,,"1""x6""x16'",,,,4x4x6,11.25,?,Mils,4x6x6,11.25,,,8,,?,16ft boards span 2 sections — 2 boards/section covers 4 rails. Update infill_cost_ea to price of 1x6x16 from Mils.
CIN,wood,cin_wood_split_3rail,Split Rail 3 Rail,split_rail,11,4,Split Rail,"4""x4""x11'",3,13.6,Mills,,"4""x4""x11'",,,,4x4x6,11.25,?,Mills,4x6x6,11.25,,,8,,?,Round post — what diameter/length and cost?
CIN,wood,cin_wood_split_2rail,Split Rail 2 Rail,split_rail,11,4,Split Rail,"4""x4""x11'",2,13.6,Mills,,"4""x4""x11'",,,,4x4x6,11.25,?,Mills,4x6x6,11.25,,,8,,?,Same rail and post as 3-rail version?
CIN,vinyl,cin_vinyl_privacy,Vinyl Privacy 6ft,panel,8,6,Privacy Panel,6ft x 8ft panel,1,100,SPS,,,,,,5x5x8,,25,SPS,5x5x8,0,,,7,?,,
CIN,vinyl,cin_vinyl_ranchrail,Vinyl Ranch Rail 3 Rail,vinyl_horizontal,8,4,Vinyl Rail,"1.5""x5.5""x8",3,15.35,Imperial Fence,,"1.5""x5.5""x8",,,,5x5x6,25,,Imperial Fence,5x5x6,25,,,7,?,What are the rail part numbers / dimensions from Imperial?,
CIN,aluminum,cin_alum_4ft,Aluminum Flat Top 4ft,panel,6,4,Aluminum Panel,4ft x 6ft panel,1,64,SPS,,,,,,2x2x6,18,?,SPS,2x2x6,18,,,5,,?,
CIN,aluminum,cin_alum_6ft,Aluminum Flat Top 6ft,panel,6,6,Aluminum Panel,6ft x 6ft panel,1,132.35,Imperial Fence,,,,,,2x2x8,,25,Imperial Fence,2x2x8,0,,,5,?,,
CIN,chainlink,cin_chainlink,Chain Link,mesh,10,"3,4,5,6",Galvanized Mesh,11.5ga,per_lf,4.66,Master Halco,Top Rail,"1-3/8"" x 21ft",1 per 21ft,?,Master Halco,steel,?,?,Master Halco,,,,,9,Galvanized mesh cost per LF here. Black vinyl mesh cost goes in addons file as upcharge.,,
